date,PRECTOT,PS,T2M,T2MDEW,T2MWET,TS,QV2M
2008-10-01,0.019069354838709085,0.002084301075313988,-0.054951612903224145,-0.06200408602150631,-0.06191043010752928,-0.05672182795698788,-0.03735247311828083
2008-11-01,0.005425913978495345,-0.0006907526882145021,-0.05416956989246913,-0.02475419354838415,-0.02447193548386828,-0.054669354838711826,-0.005127096774190321
2008-12-01,0.00556376344085896,0.0008594623655966416,0.008633333333328608,0.0306030107526869,0.03042924731182417,0.00860354838710009,0.015302903225801856
2009-01-01,-0.03026032258064415,0.0007254838709940259,-0.01022817204301063,-0.038559247311829026,-0.0383860215053744,-0.009838387096774426,-0.018286881720428028
2009-02-01,0.04938071428571433,-0.005711774193585484,0.0488781720430147,0.05497261136712872,0.05473268049155244,0.05395486175114783,0.03213492319508404
2009-03-01,0.007306597542242166,-0.00014747311826113219,0.11377526881720001,0.07420932411674386,0.0740443087557594,0.1111512672811088,0.03052604454685337
2009-04-01,-0.04391075268817213,4.08602150656634e-05,0.05473182795699216,0.05410817204301033,0.053679354838710225,0.05432258064515949,0.020007204301071724
2009-05-01,0.012703118279570713,-0.0011651612903449404,-0.00020548387097107934,-0.009446989247315685,-0.009025161290326267,-0.00012903225806226715,0.009560645161291959
2009-06-01,-0.0358405145929348,-0.0029534792626577655,-0.00219736559139605,-0.013374070660519877,-0.013349116743471612,-0.0037975729646682055,0.005114039938556303
2009-07-01,-0.028714324116742684,0.006117995391704767,0.007981236559142957,0.013083748079880664,0.013039439324121105,0.010187895545314518,0.0009730568356367542
2009-08-01,0.04844559139784854,-0.003918387096788933,-0.043690215053768355,-0.03294279569892389,-0.03288967741935167,-0.04194150537635011,-0.019038172043012835
2009-09-01,0.03221473118279672,0.004226881720470033,-0.034879032258061216,-0.025326236559145343,-0.025275698924737355,-0.03623946236558595,-0.013852903225803459
2009-10-01,0.0003463440860222988,-0.0019717204301485936,-0.06663311827956875,-0.06468440860214564,-0.06466333333333019,-0.06511172043011015,-0.048048172043010595
2009-11-01,-0.047945483870971195,0.0027461290322463583,-0.05400634408602656,-0.04558817204301491,-0.04557559139785283,-0.059986881720426766,-0.028380752688173416
2009-12-01,0.05721946236559461,0.0007525806451980088,-0.02513322580644939,-0.024316451612900636,-0.02428279569892311,-0.021926881720432334,-0.00883161290322576
2010-01-01,-0.01019236559139891,-0.0027283870967806934,0.05051494623656083,0.0434713978494603,0.04344720430107252,0.046691290322581125,0.029865268817207635
2010-02-01,-0.03377203533026174,-0.002530023041487084,0.016373533026111886,0.014810399385561723,0.014769270353308883,0.02159004608294879,0.011120330261134015
2010-03-01,-0.01668968509984481,0.00030432411675462845,0.03236324116743461,0.025736267281107672,0.02568438556067143,0.032174900153606245,0.006768271889399102
2010-04-01,-0.0073364516129044155,0.0008877419354718086,0.0826446236559164,0.05435451612902931,0.05431688172043181,0.08145053763441723,0.025964731182797962
2010-05-01,0.026842150537634613,-0.0005788172042855422,0.017403655913973637,0.025498387096776653,0.02556612903225819,0.018199677419350024,0.026429784946236268
2010-06-01,0.0010699231950845878,0.0011833486943118032,0.03857784178187629,0.04098501536098098,0.04081902457757103,0.038385199692775984,0.026915883256529938
2010-07-01,-0.013237665130568566,0.0016231029185576062,-0.029635906298000947,-0.046378563748080026,-0.046215798771120475,-0.030204554531483296,-0.022122334869434823
2010-08-01,0.024474516129032065,-0.002634516128992459,-0.04680032258064415,-0.028705161290321968,-0.028719569892471597,-0.04546225806451787,-0.018802903225806133
2010-09-01,-0.028550967741935107,0.0006406451612548381,-0.011530000000004037,-0.015106344086021295,-0.01506645161290443,-0.013868279569891229,-0.018195268817201793
2010-10-01,0.005706666666667193,0.0022527956989506492,-0.06834311827956796,-0.06799107526881443,-0.0678562365591393,-0.07120322580645677,-0.04102526881720436
2010-11-01,0.046373333333332045,-5.053763430851177e-06,-0.04445870967742138,-0.017986344086020623,-0.018086559139785408,-0.04244462365591062,-0.017519462365592986
2010-12-01,-0.04418419354838621,9.67741911495068e-07,-0.055993655913976426,-0.05328526881721096,-0.052890537634407764,-0.057176451612903634,-0.015973225806451552
2011-01-01,-0.02484193548387159,0.002901182795682189,0.02357064516128915,-0.0015086021505350544,-0.001715161290325895,0.02211892473118482,-0.006387311827953823
2011-02-01,-0.0036429723502293676,-0.0003873579108528702,0.09456080645161791,0.08538993855606947,0.08522806451613185,0.09695331029185539,0.049196874039934
2011-03-01,0.03488609062979897,-0.003665867895563224,0.06371360215053201,0.0740656528417798,0.07398956989247196,0.06729120583717574,0.03867086789554541
2011-04-01,-0.019313548387095203,-5.5913978513899565e-05,0.02932000000000201,0.01866419354838733,0.018648279569893234,0.027508602150540185,0.012093010752691313
2011-05-01,0.03240913978494531,-0.005837204301059273,0.05248978494623202,0.044237204301074584,0.04367505376344383,0.05325376344085342,0.015303978494619841
2011-06-01,-0.02349727342549901,0.005700076804913579,-0.016870268817196887,-0.027758963133637238,-0.027195652841784934,-0.016229746543775292,0.001538187403998137
2011-07-01,0.005206950844853786,0.002364439324082923,-0.02465231182796046,-0.008202327188943315,-0.008220476190476944,-0.023702511520735214,0.0016005222734225555
2011-08-01,-0.029402795698924677,-0.001657419354799572,-0.018993548387093995,-0.049893978494621294,-0.049810752688172144,-0.01827870967742129,-0.03663806451612572
2011-09-01,0.010387956989247549,0.0019497849462197792,-0.05319311827957307,-0.028885376344087277,-0.028882473118278185,-0.05645408602150681,-0.022423763440864164
2011-10-01,-0.06228795698924783,-0.00017236559139632845,-0.06694311827957122,-0.07995860215053696,-0.07986741935483899,-0.06749516129032074,-0.05094376344085916
2011-11-01,0.07758021505376433,0.0006303225806476576,-0.021675053763438257,0.008891612903225266,0.00889677419354662,-0.02015193548387373,0.004857096774195213
2011-12-01,0.011545161290321904,0.0011980645161457915,-0.02288548387096867,-0.01167301075268945,-0.011739354838706362,-0.02290397849462167,-0.010732150537636542
2012-01-01,0.01883731182795767,-0.0005463440860467017,0.04967279569892469,0.043506236559142764,0.04359311827956702,0.048060645161292825,0.03830376344085984
2012-02-01,0.001277593622543094,-0.000918060808288601,0.04280707081942836,0.05257385242862256,0.052476625880613526,0.04435481646273587,0.029536281053024638
2012-03-01,-0.017607808676308512,-0.0018060252132130472,0.07527776789024898,0.07334216907675106,0.07313487949572739,0.07627367816091635,0.034701890989985884
2012-04-01,-0.0017596774193524567,-0.003079892473110135,0.036995483870967405,0.01843505376344723,0.01846075268817593,0.0365435483870975,0.00909139784946511
2012-05-01,-0.003979677419355898,0.0008277419354669746,0.015569462365593978,0.010697526881710218,0.01057978494623768,0.013583440860216456,0.006805376344084735
2012-06-01,-0.037394605116796154,-0.0009491620318442529,0.005958616981828868,-0.021994330737852508,-0.021783774564331893,0.008458209121243954,-0.006241542454576532
2012-07-01,0.056401056729699306,-0.00023793474233002598,-0.03453603633666802,-0.0017314757137540937,-0.0017646125324386475,-0.03417756395995397,0.008312510196509137
2012-08-01,-0.007824516129032233,0.0010322580645407697,-0.03358430107527255,-0.018704946236560716,-0.018667634408611633,-0.035580645161289226,-0.013055698924723913
2012-09-01,-0.0029992473118278795,0.00285569892466242,-0.07318537634408173,-0.07677806451612845,-0.07675010752687328,-0.07641333333333478,-0.05405301075269442
2012-10-01,-0.03737408602150438,-0.0016206451612390538,-0.036989032258070154,-0.04965688172043059,-0.04961010752688466,-0.03481333333333225,-0.03561537634408296
2012-11-01,0.016603010752686664,0.007947096774174156,-0.05307956989246776,-0.02916032258064405,-0.029094301075272,-0.05444989247311938,-0.012126559139787219
2012-12-01,0.04969806451612957,-0.005501505376329874,0.0022673118279534776,0.011300215053759999,0.011360860215059887,0.0031765591397849846,0.012982903225806197
2013-01-01,-0.04380247311827912,0.0021016129031892206,0.033703655913981834,0.029167096774198598,0.029076236559136603,0.03384483870967614,0.018498709677421843
2013-02-01,0.02465385560675859,-0.0026437788017688035,0.001630330261136237,-0.008359262672815504,-0.008344900153611334,0.003198133640555767,-0.0047602304147496
2013-03-01,-0.04361009216589862,-0.0019349308756346772,0.055193970814130466,0.045523563748082196,0.04549769585253571,0.055131973886325625,0.02607614439324557
2013-04-01,0.04287849462365534,-0.0018177419354685753,0.0937010752688181,0.10026010752688208,0.09989258064516271,0.09553752688172423,0.044966451612898695
2013-05-01,-0.04047139784946241,0.0008722580645184053,0.033374193548386444,0.023137526881718884,0.023097741935480087,0.03184236559139464,0.016067311827960395
2013-06-01,0.02347799539170614,0.0002458141321142193,-0.019258118279569914,-0.013730906298000889,-0.013514231950839672,-0.0177369662058382,0.006696943164362423
2013-07-01,-0.006290898617512308,0.004850960061418164,-0.019851559139784314,-0.018788448540711045,-0.018676090629803355,-0.020675937019966284,-0.006758233486944931
2013-08-01,0.01537462365591491,-0.0018861290322433888,-0.0170597849462375,-0.012276451612898143,-0.012283870967744193,-0.017819892473116994,-0.008656451612903737
2013-09-01,-0.028264086021506873,0.0010460215053882393,-0.0455419354838682,-0.05428118279570171,-0.05425698924730682,-0.04455344086021995,-0.04017408602150141
2013-10-01,0.011325483870968878,0.0006809677419141735,-0.05333559139785393,-0.0473599999999994,-0.047342150537637906,-0.054709354838703206,-0.034010860215058614
2013-11-01,0.029165376344086003,0.0017624731182763753,-0.05983591397849253,-0.06876268817204512,-0.06838698924730835,-0.05890408602150998,-0.03803365591397778
2013-12-01,-0.004733655913978563,0.001986989247328097,-0.02575580645161324,-0.010455161290318316,-0.010694516129035492,-0.026445483870965347,-0.007528172043008041
2014-01-01,-0.04732741935483942,-0.0024987096774253814,-0.012515913978493387,-0.014961720430109793,-0.014391935483869744,-0.014007849462370103,0.006917526881718317
2014-02-01,0.023909101382488807,-0.0032837788018298397,0.11959068356374658,0.1385021582181274,0.1377584101382503,0.1211515130568408,0.07154963901689726
2014-03-01,0.015196274961597478,0.000579155145914001,0.031046735791093738,0.014847519201225623,0.014625675883252143,0.03052354070660357,0.002094231950845682
2014-04-01,0.009568172043011636,-0.0014232258064481584,0.057716129032254315,0.04641301075269055,0.04657516129032935,0.060062580645162456,0.026883118279569018
2014-05-01,-0.03274290322580775,0.0002813978494486946,0.005081720430109016,0.008757096774191453,0.00873268817203332,0.0035637634408551833,0.010194193548386465
2014-06-01,0.02346897849462426,-0.001902311827933545,0.02084837941628237,0.020165153609832842,0.020312749615982284,0.018482503840250075,0.019607511520741028
2014-07-01,0.00249231182795695,-0.0002363978494628327,-0.014706443932411162,-0.014239347158214954,-0.01407403993855283,-0.011859923195085997,-0.007375253456224584
2014-08-01,-0.017396129032257956,0.003142365591372709,-0.037537741935487645,-0.03831505376344424,-0.03853817204301713,-0.037964838709676485,-0.023163548387096
2014-09-01,0.018755913978494743,0.0012223655914027631,-0.03142225806450938,-0.019338494623655222,-0.01938903225806321,-0.030515268817204344,-0.018069247311828462
2014-10-01,-0.006983870967742334,-0.0020888172042958786,-0.06716268817204352,-0.044627849462369085,-0.04455817204301127,-0.07044935483871129,-0.028582473118278884
2014-11-01,0.009310860215053562,0.0031195698924904036,-0.06302763440860915,-0.06668881720429809,-0.06637784946236636,-0.0642593548387076,-0.03491580645161285
2014-12-01,0.024819677419355646,-9.225806454082885e-05,0.00983096774194081,0.015408924731181273,0.01501483870968201,0.011408172043008591,0.00034397849462308727
2015-01-01,-0.02584483870967791,-1.989247310518749e-05,0.028457526881719986,0.021845913978499,0.02191430107526493,0.030504838709681792,0.021609892473119174
2015-02-01,-0.018924861751152378,0.00027703533027079175,0.02106424731182699,0.008099592933943356,0.0084263671275,0.02184735023040929,0.012149439324115718
2015-03-01,-0.021238256528417487,-0.0034242396313430845,0.09789252688171857,0.0836668586789564,0.08332438556067068,0.09658157450077098,0.035807442396313505
2015-04-01,0.03513741935483905,-0.003719569892453478,0.01749387096774413,0.010548709677422607,0.010532150537635232,0.020295053763440762,0.009476236559143203
2015-05-01,-0.005903655913979566,0.004599569892420163,0.04252086021505619,0.05267118279569338,0.05248344086022172,0.039358279569892574,0.028776344086017147
2015-06-01,-0.00017099846389934115,0.0014152688172401895,0.013702242703530487,0.008190522273430645,0.008265829493078414,0.012781804915512396,0.013238471582182498
2015-07-01,0.018293579109061486,-0.006328172043026825,-0.03587643625192172,-0.03730665130568589,-0.03717228110598292,-0.03418503072196444,-0.012761052227343583
2015-08-01,-0.007610430107527932,0.004717311827974413,-0.018173763440856305,-0.00572010752688179,-0.005606774193552155,-0.01798817204301173,-0.01062064516128558
2015-09-01,-0.006006344086019855,-0.0026966666666652372,-0.054084408602154355,-0.01897376344085977,-0.0191599999999994,-0.05393795698924464,-0.017784408602157242
2015-10-01,0.007685698924730033,0.0028481720429880397,-0.053722903225803975,-0.06655677419355222,-0.06644838709677536,-0.05656494623656272,-0.04273086021505179
2015-11-01,-0.015193870967740608,0.0035278494624009227,-0.030508924731183384,-0.030208924731178755,-0.03027430107526996,-0.031686236559135494,-0.020811290322578557
2015-12-01,0.05102494623655751,-0.0030902150538167916,-0.006048709677422437,0.015511182795700407,0.015495913978499587,-0.00514849462365774,0.006556881720426233
2016-01-01,-0.025472365591397317,-0.0018579569891983283,-0.009999784946231216,-0.03371978494624095,-0.033576129032264035,-0.009890967741934986,-0.00798204301074712
2016-02-01,0.001164912866147283,0.0021308157211734624,0.059543388950682896,0.056028572487953454,0.05595588431591203,0.06147061179087743,0.03201952910641204
2016-03-01,-0.002181687059693793,-0.004643396366375896,0.06417284760845376,0.04942981460882123,0.04926228772709784,0.06324272154245492,0.021762728958103494
2016-04-01,-0.029327741935486262,0.0018351612903728665,0.03257784946236697,0.024538924731185574,0.02455935483871663,0.033866129032258385,0.01588967741935221
2016-05-01,-0.017744408602149875,-0.0014743010753051067,0.06000247311827778,0.04641279569892731,0.04623408602150114,0.061617956989245215,0.0196391397849478
2016-06-01,0.011698220244716229,0.0012338116425638646,0.0006383388950723656,-0.002513477938455466,-0.0024709269558762514,0.0010910604375240496,0.010163959955505675
2016-07-01,0.005808231368187311,0.00018554319616725934,-0.02353833889507584,-0.029325231738969393,-0.029200040786058423,-0.02465880237300766,-0.010905895439382363
2016-08-01,-0.01641698924731161,0.001092365591389921,-0.01969419354838209,-0.013093333333330293,-0.01298967741935364,-0.017949677419352383,-0.006542043010746568
2016-09-01,0.007563440860214321,0.0020089247311574354,-0.0557762365591401,-0.06829483870967934,-0.06820139784946555,-0.057093655913977415,-0.04804591397849656
2016-10-01,-0.0017584946236550714,0.0018567741935839877,-0.051185698924729905,-0.04809655913978084,-0.04796236559139366,-0.054757741935489435,-0.03027204301075237
2016-11-01,0.030184623655912013,0.0006144086021606654,-0.05894935483870967,-0.05154397849462811,-0.05087870967742347,-0.059980752688165495,-0.025231720430104687
2016-12-01,-0.07135645161290105,0.0035726881719853054,0.005786129032255616,0.027702903225806708,0.026986989247317794,0.00773344086021055,0.008901397849459869
2017-01-01,0.10602677419354745,-0.008159892473059926,0.041276666666668405,0.05229634408602202,0.05216301075268248,0.04008010752688307,0.03275559139784612
2017-02-01,-0.054632649769584596,-0.0027079646697671933,0.043101213517665826,0.037228886328726674,0.03716705837173606,0.045867127496158844,0.020085076804921442
2017-03-01,-0.0028787480798779796,0.004985384024550399,0.04402642089093334,0.03543907066052121,0.03520885560676312,0.04314986175115365,0.01573320276497192
2017-04-01,-0.014376236559138889,-0.00508870967736641,0.022597741935484805,0.006652043010751285,0.006704193548383586,0.02351408602150329,0.0074429032258098715
2017-05-01,0.06682215053763363,-0.001599784946250793,0.06305279569892619,0.07181913978494947,0.07160849462365526,0.06286301075269307,0.03821225806451878
2017-06-01,-0.02366877880184326,0.0034495161290237775,-0.03127473118279411,-0.02927529953917052,-0.02901751920122919,-0.030117012288794598,-0.006683955453155477
2017-07-01,-0.05384735023041376,0.0010085483870767575,-0.013602688172046129,-0.023882764976963955,-0.023746996927799913,-0.014976536098302518,-0.003938625192009937
2017-08-01,0.040041827956988296,-0.00234580645157223,-0.030528064516126108,-0.025734086021500957,-0.02576387096774191,-0.032341935483874096,-0.017316774193549378
2017-09-01,-0.05761333333333418,0.003124731182779783,-0.031419139784951255,-0.04715903225806706,-0.047128387096774915,-0.031126989247312054,-0.037583440860212036
2017-10-01,0.03891720430107748,0.0049352688171921955,-0.09324655913977864,-0.07413419354838346,-0.07403569892473172,-0.08943741935484084,-0.05535645161290326
2017-11-01,-0.011288494623657108,-0.0024537634408545728,-0.013493978494629744,-0.0095582795698963,-0.009578817204300094,-0.017116989247309533,0.00011247311827666806
2017-12-01,0.010475053763440823,0.0012105376344067054,-0.0202767741935439,-0.015578924731181942,-0.015596451612907458,-0.019634731182790688,-0.002800967741933391
2018-01-01,-0.015366774193548594,0.0030882795699085364,-0.011108172043012843,-0.028518064516127595,-0.028750752688170067,-0.012048064516136492,-0.011131505376345885
2018-02-01,-0.01847999999999894,-0.002666850998480186,0.12816888632872647,0.1344481336405572,0.1336088172043013,0.13004841013825086,0.0731179109062996
2018-03-01,0.04111462365591212,-0.003997880184314795,0.013347995391704615,0.005021221198150627,0.004768817204304554,0.0161759984639005,0.005001336405529244
2018-04-01,-0.021483118279568725,-0.0016515053763583865,0.037208279569892255,0.027891935483866703,0.027296344086014557,0.034964838709679924,0.007803548387096626
2018-05-01,0.03860236559139674,0.001076344086015979,0.044092688172042926,0.05507290322581326,0.056099354838718085,0.04595559139785266,0.04114741935483757
2018-06-01,-0.00861914746543535,0.0008573348694369542,0.03414990783410232,0.04352734254992541,0.04266954685098945,0.03211092165897966,0.02227031490015996
2018-07-01,0.02042882488479103,0.00022008448543431314,-0.02914023041474678,-0.04428863287250806,-0.044592127496152045,-0.028501244239627965,-0.017521927803388238
2018-08-01,-0.010538494623655748,0.001759892473089053,-0.053118924731183625,-0.03232741935483929,-0.031595161290326246,-0.05249064516129209,-0.018641182795693823
2018-09-01,-0.027972258064516087,-0.002096881720447641,-0.025883870967742695,-0.03392440860215018,-0.034418172043009676,-0.027527204301073027,-0.029583978494628127
2018-10-01,0.01176387096774123,0.00020709677421848482,-0.08043645161290058,-0.06606602150537277,-0.0663800000000041,-0.0794474193548389,-0.05363473118278961
2018-11-01,0.013888387096775201,0.0005131182795423683,-0.0668698924731217,-0.048577311827960656,-0.04820344086020967,-0.07079505376344386,-0.024460860215057778
2018-12-01,0.02114559139784955,0.0008393548387459759,0.018022043010752498,0.0161048387096816,0.015574193548387072,0.019292580645164037,0.0076433333333341125
2019-01-01,-0.02552032258064596,0.001980967741943118,-0.005772903225803816,0.005056666666661158,0.005347311827954115,-0.00599526881720891,0.020649784946236593
2019-02-01,-0.005207672811059272,-0.0035116129032530807,0.08966195852534753,0.08661890937020189,0.0866411674347205,0.09392614439324731,0.042617956989250416
2019-03-01,-0.04109168202765012,0.0007316129032233221,0.020543095238092945,-0.02133181259600825,-0.020846758832572476,0.019057188940088565,-0.011228064516133784
2019-04-01,0.07359193548387077,-0.0036132258064327516,0.08649827956989142,0.09034967741935951,0.08928419354839079,0.08671473118279849,0.040127849462368914
2019-05-01,-0.06339806451612873,0.0003025806451404378,0.03162440860215199,0.02741623655913905,0.028445053763443084,0.03283913978494368,0.02690021505376272
2019-06-01,0.05212845622119788,-0.00021608294929365002,-0.04377822580645585,-0.03501596006144858,-0.03478268817204899,-0.04551223502303969,-0.008662680491552166
2019-07-01,-0.030789746543777863,0.0015902764976942763,0.0037685483871037206,-0.009319523809516284,-0.009649569892465237,0.0049057834101375875,-0.006366351766512679
2019-08-01,-0.008726344086022575,-2.430107525697167e-05,-0.020239247311831576,-0.023014408602156422,-0.023531397849469116,-0.01868817204301365,-0.013079892473118804
2019-09-01,-0.021442903225806553,0.0031334408602106123,-0.017126129032263293,-0.02573430107526775,-0.025533118279566835,-0.01829838709677034,-0.020874301075268775
2019-10-01,0.04951064516129211,-0.0010903225806657701,-0.09484419354837215,-0.05049129032258115,-0.05163430107526956,-0.09789602150537746,-0.035875698924730415
2019-11-01,-0.02442301075268949,0.001118279569908509,-0.04778559139786154,-0.057205483870966134,-0.05618344086021487,-0.04780978494623511,-0.037261827956990956
2019-12-01,0.05531709677419272,0.001053225806458613,-0.010366129032259863,0.03340999999999816,0.0332016129032251,-0.011426989247315333,0.02631107526882026
2020-01-01,-0.06348193548386938,0.0009527956989217046,0.01898666666667026,-0.017146451612903846,-0.015151935483867618,0.020132795698927453,-0.005141397849463658
2020-02-01,0.06521319243603863,-0.0008681460882939973,0.05444748238784314,0.06398794215795611,0.0631192324805312,0.0553144790508,0.03568655913978169
2020-03-01,-0.06624738598442637,-0.004370456062218864,0.08242552836484762,0.06084356321838946,0.06120302558398372,0.08160681127177583,0.029245268817208014
2020-04-01,0.051541612903225786,-0.0040852688172492435,-0.0008090322580684983,-0.01881473118279331,-0.019898494623660667,-0.00021537634408019812,-0.010389462365591129
2020-05-01,-0.03406419354838741,0.0020775268817061487,0.02225903225806647,0.032342580645156715,0.03346688172043777,0.024641935483870725,0.021676451612901104
2020-06-01,-0.006818776418242578,0.0022774156470859452,0.0031068001483127716,-0.008915465331847727,-0.009419529106423852,0.001566366332959035,-0.0008423025583983446
2020-07-01,-0.022084449388207972,-0.00030967371161239043,-0.023793896922505553,-0.03381356692621296,-0.03377724508712632,-0.02242443084908885,-0.013438342602894338
2020-08-01,0.03532999999999875,-0.0002529032257569952,-0.0061144086021514,0.014362043010748948,0.014886236559137345,-0.007145591397847539,0.009689247311833071
2020-09-01,0.006818172043010939,0.00267956989249285,-0.05593118279569964,-0.04421537634408246,-0.04470225806451644,-0.05412634408602557,-0.034970752688172624
2020-10-01,0.039330860215054386,0.0008121505375839888,-0.033070645161288326,-0.008388709677420891,-0.008690860215054386,-0.036475483870965775,-0.0062264516129015846
2020-11-01,-0.041978494623657436,0.0006230107527045448,-0.03968720430107453,-0.06256827956989319,-0.061929892473116865,-0.04106000000000165,-0.043706021505384385
2020-12-01,0.01180591397849673,-0.0007424731182936739,-0.021328817204302908,-0.010344516129029202,-0.002789032258062818,-0.019976451612901513,0.0012107526881770525
